EOS,M_Msun,R_km,Compactness,Lambda_k2_0p08
APR,1.4080918830226783,11.364400000023812,0.18296492607136633,260.1114711155169
SLY4,1.3732955058285152,11.716300000025091,0.17308398131535221,343.3320495251647
DD2,1.381751517,13.18863983,0.15470818916838794,601.7723289119133
