lambda,Mcrit_kg,Mcrit_Msun
0.15,3.099969527868181e+30,1.558972238891299
0.18,4.075015771180901e+30,2.0493222282362327
0.2,4.7727153103848846e+30,2.4001947780881205
0.22,5.5062326520617e+30,2.7690800726496754
0.25,6.67007241954663e+30,3.354374176903162
0.28,7.906014076312247e+30,3.9759282646015515
0.3,8.768037898509004e+30,4.409439367206447
0.32,9.659296642799176e+30,4.857652689152553
0.35,1.1048990566065243e+31,5.556528670819898
